Trip Id, Route Id, Service Id, Trip Head Sign, Route Name, Monday
218313857,NA,20C-H50C000A-90-A,16-O,NA,No
218313858,NA,20C-H50C000A-90-A,16-E,NA,No
218313859,NA,20C-H50C000A-90-A,16-O,NA,No
218313860,NA,20C-H50C000A-90-A,16-E,NA,No
218313861,NA,20C-H50C000A-90-A,16-O,NA,No
218313862,NA,20C-H50C000A-90-A,16-E,NA,No
218313863,NA,20C-H50C000A-90-A,16-O,NA,No
218313864,NA,20C-H50C000A-90-A,16-E,NA,No
218313865,NA,20C-H50C000A-90-A,16-O,NA,No
218313866,NA,20C-H50C000A-90-A,16-E,NA,No
218313867,NA,20C-H50C000A-90-A,16-O,NA,No
218313868,NA,20C-H50C000A-90-A,16-E,NA,No
218313869,NA,20C-H50C000A-90-A,16-O,NA,No
218313870,NA,20C-H50C000A-90-A,16-E,NA,No
218313871,NA,20C-H50C000A-90-A,16-O,NA,No
218313872,NA,20C-H50C000A-90-A,16-O,NA,No
218313873,NA,20C-H50C000A-90-A,16-E,NA,No
218313874,NA,20C-H50C000A-90-A,16-O,NA,No
218313875,NA,20C-H50C000A-90-A,16-E,NA,No
218313876,NA,20C-H50C000A-90-A,16-E,NA,No
218313877,NA,20C-H50C000A-90-A,16-O,NA,No
218313878,NA,20C-H50C000A-90-A,16-E,NA,No
218313879,NA,20C-H50C000A-90-A,16-O,NA,No
218313880,NA,20C-H50C000A-90-A,16-E,NA,No
218313881,NA,20C-H50C000A-90-A,16-O,NA,No
218313882,NA,20C-H50C000A-90-A,16-E,NA,No
218313884,NA,20C-H50C000A-90-A,93-E,NA,No
218313885,NA,20C-H50C000A-90-A,93-E,NA,No
218313886,NA,20C-H50C000A-90-A,93-O,NA,No
218313887,NA,20C-H50C000A-90-A,93-O,NA,No
218313888,NA,20C-H50C000A-90-A,93-E,NA,No
218313889,NA,20C-H50C000A-90-A,93-O,NA,No
218313890,NA,20C-H50C000A-90-A,16-E,NA,No
218313891,NA,20C-H50C000A-90-A,16-O,NA,No
218313893,NA,20C-H50C000A-90-A,93-O,NA,No
218313894,NA,20C-H50C000A-90-A,93-E,NA,No
218313895,NA,20C-H50C000A-90-A,93-O,NA,No
218313896,NA,20C-H50C000A-90-A,93-E,NA,No
218313897,NA,20C-H50C000A-90-A,93-O,NA,No
218313898,NA,20C-H50C000A-90-A,93-E,NA,No
218313899,NA,20C-H50C000A-90-A,93-E,NA,No
218313900,NA,20C-H50C000A-90-A,93-O,NA,No
218313901,NA,20C-H50C000A-90-A,93-E,NA,No
218313902,NA,20C-H50C000A-90-A,93-O,NA,No
218313903,NA,20C-H50C000A-90-A,93-O,NA,No
218313904,NA,20C-H50C000A-90-A,93-E,NA,No
218313905,NA,20C-H50C000A-90-A,93-O,NA,No
218313906,NA,20C-H50C000A-90-A,93-E,NA,No
218313907,NA,20C-H50C000A-90-A,93-E,NA,No
218313908,NA,20C-H50C000A-90-A,93-O,NA,No
218313909,NA,20C-H50C000A-90-A,93-E,NA,No
218313910,NA,20C-H50C000A-90-A,93-O,NA,No
218313911,NA,20C-H50C000A-90-A,93-O,NA,No
218313912,NA,20C-H50C000A-90-A,93-E,NA,No
218313913,NA,20C-H50C000A-90-A,93-O,NA,No
218313914,NA,20C-H50C000A-90-A,380-E,NA,No
218313915,NA,20C-H50C000A-90-A,93-E,NA,No
218313917,NA,20C-H50C000A-90-A,380-O,NA,No
218313922,NA,20C-H50C000A-90-A,100-O,NA,No
218313925,NA,20C-H50C000A-90-A,100-E,NA,No
218313928,NA,20C-H50C000A-90-A,93-E,NA,No
218313929,NA,20C-H50C000A-90-A,93-O,NA,No
218313930,NA,20C-H50C000A-90-A,93-E,NA,No
218313931,NA,20C-H50C000A-90-A,93-O,NA,No
218313932,NA,20C-H50C000A-90-A,93-E,NA,No
218313933,NA,20C-H50C000A-90-A,93-O,NA,No
218313934,NA,20C-H50C000A-90-A,93-E,NA,No
218313935,NA,20C-H50C000A-90-A,93-E,NA,No
218313936,NA,20C-H50C000A-90-A,93-O,NA,No
218313937,NA,20C-H50C000A-90-A,93-E,NA,No
218313938,NA,20C-H50C000A-90-A,93-O,NA,No
218313939,NA,20C-H50C000A-90-A,93-O,NA,No
218313940,NA,20C-H50C000A-90-A,93-E,NA,No
218313941,NA,20C-H50C000A-90-A,93-O,NA,No
218313942,NA,20C-H50C000A-90-A,93-E,NA,No
218313945,NA,20C-H50C000A-90-A,380-E,NA,No
218313946,NA,20C-H50C000A-90-A,380-O,NA,No
218313949,NA,20C-H50C000A-90-A,100-O,NA,No
218313951,NA,20C-H50C000A-90-A,100-O,NA,No
218313952,NA,20C-H50C000A-90-A,100-O,NA,No
218313953,NA,20C-H50C000A-90-A,100-O,NA,No
218313954,NA,20C-H50C000A-90-A,100-O,NA,No
218313955,NA,20C-H50C000A-90-A,100-O,NA,No
218313956,NA,20C-H50C000A-90-A,171-O,NA,No
218313957,NA,20C-H50C000A-90-A,100-O,NA,No
218313958,NA,20C-H50C000A-90-A,100-E,NA,No
218313959,NA,20C-H50C000A-90-A,100-E,NA,No
218313960,NA,20C-H50C000A-90-A,100-E,NA,No
218313961,NA,20C-H50C000A-90-A,100-E,NA,No
218313962,NA,20C-H50C000A-90-A,100-E,NA,No
218313963,NA,20C-H50C000A-90-A,100-E,NA,No
218313964,NA,20C-H50C000A-90-A,100-O,NA,No
218313965,NA,20C-H50C000A-90-A,100-E,NA,No
218313966,NA,20C-H50C000A-90-A,100-O,NA,No
218313967,NA,20C-H50C000A-90-A,100-E,NA,No
218313968,NA,20C-H50C000A-90-A,100-O,NA,No
218313969,NA,20C-H50C000A-90-A,100-E,NA,No
218313970,NA,20C-H50C000A-90-A,100-O,NA,No
218313971,NA,20C-H50C000A-90-A,162-O,NA,No
218313979,NA,20C-H50C000A-90-A,100-E,NA,No
218313982,NA,20C-H50C000A-90-A,100-O,NA,No
218313985,NA,20C-H50C000A-90-A,100-E,NA,No
218313987,NA,20C-H50C000A-90-A,100-O,NA,No
218313988,NA,20C-H50C000A-90-A,100-E,NA,No
218313990,NA,20C-H50C000A-90-A,100-O,NA,No
218313991,NA,20C-H50C000A-90-A,100-E,NA,No
218313993,NA,20C-H50C000A-90-A,100-O,NA,No
218313994,NA,20C-H50C000A-90-A,100-E,NA,No
218313996,NA,20C-H50C000A-90-A,100-O,NA,No
218313997,NA,20C-H50C000A-90-A,100-E,NA,No
218313999,NA,20C-H50C000A-90-A,100-O,NA,No
218314000,NA,20C-H50C000A-90-A,100-E,NA,No
218314001,NA,20C-H50C000A-90-A,100-E,NA,No
218314003,NA,20C-H50C000A-90-A,100-O,NA,No
218314005,NA,20C-H50C000A-90-A,100-O,NA,No
218314006,NA,20C-H50C000A-90-A,100-E,NA,No
218314008,NA,20C-H50C000A-90-A,369-S,NA,No
218314009,NA,20C-H50C000A-90-A,369-N,NA,No
218314010,NA,20C-H50C000A-90-A,369-S,NA,No
218314011,NA,20C-H50C000A-90-A,369-N,NA,No
